SITE_CURRENCY,$
NO_WARRANTY_LIABLITY_WARNING,"sadece dijital merakl?lar? net varl?klar? Åcretsiz online al??veri?i platformu sa?lamak iáin, para yat?r?m de?eri kabul edemez e?er herhangi bir inceleme, garanti, yÅkÅmlÅlÅk, yok lÅtfen, onlar?n yat?r?m kay?plar? bÅtÅn sorumlulu?unu Åstlenmesi gerekir taahhÅt etmez Ticaret! Te?ekkÅr ederim!"
2FO_OPT_ADVICE,"iki faktîrlÅ kimlik do?rulama i?levi Hesap aámak sonra, nakit operasyon áekmesi her zaman, sistem size finansal gÅvenli?ini sa?lamak iáin, bir kerelik ?ifre mobil uygulamas?nda gîrÅntÅlenen girmek isteyecektir. Bu îzelli?i etkinle?tirmek ve a?a??daki prosedÅre uygun olarak ayarlayabilirsiniz."
IF_YOU_HAVE_ALTERED_THE_DATABA,"Veritaban?n? de?i?tirmi? E?er yÅkseltme sonra sorunlar bulursan?z, manuel, bîyle áat??ma, kendi de?i?tirilmi? veritaban? olarak a?a??daki veritaban? de?i?iklikleri, áek, yedek dosyas?n? almak ve veritaban? yede?i geri yÅkleme ediniz."
RISK_WARNING_TRADING_BITCOIN,"Risk Uyar?s?: Ticaret Bitcoin ve Bitcoin haber riskine kar?? tetikte be? bakanl?k Devlet gîre yÅksek risk (înceden kazmak, ba?ak, yap?m manipÅlasyon, da??ld? ekip, teknik kusurlar, vb) ile di?er dijital varl?klar, miktar n?n-nin"
TRADING_PLATFORM_ONLY_DIGITAL_,"Åcretsiz online al??veri?i platformu sa?lamak Åzere platforma sadece dijital para merakl?lar? Ticaret, para yat?r?m de?eri herhangi yorumu, garanti, sorumluluk Åstlenmez ve kabul edemiyorsa, ticaret etmeyiniz!"
DIGITAL_CURRENCY_TRADING_IS_VE,"Dijital dîviz ticareti (înceden kazmak, ba?ak, manipÅlasyon yaparak, tak?m da??ld?, teknik kusurlar, vb) áok riskli, teslimat adresi:"
FOR_THE_CONFLICT_FILES_PLEASE_,"Birle?me tamamland?ktan sonra áat??ma dosyalar? iáin, elle kendine birle?tirme kodunu yeni bir geli?tirici dosyalar? bulmak lÅtfen kodu otomatik iáerik sakl?d?r ikincil geli?me olmas?n? sa?lamak iáin gÅncellenir atlamak iáin gri butonuna t?klay?n."
RISK_WARNING_DIGITAL_MONEY_INV,"Risk Uyar?s?: Dijital para rakamlar anlam?yorum para ile yat?r?m yapmay?n, belirli bir risk, para miktar?n? kontrol edin orada yat?r?m, sahte propagandan?n dikkatli MLM îrgÅtleri, reddetti."
TRADING_PROMISING_INVESTMENT_C,"umut verici bir yat?r?m, dîviz ticareti, yat?r?m riskleri azaltmak; Dijital varl?klar?n îzel bir aá?l??, daha hat tÅccarlar, e?it yat?r?m f?rsatlar? alt?nda yararlanma."
THE_INVESTMENT_VALUE_OF_THE_CU,"para yat?r?m de?eri herhangi bir inceleme, garanti, sorumluluk Åstlenmez ve kabul edemiyorsa, ticaret yapma, lÅtfen! Te?ekkÅr ederim!"
INTERFACE_IS_SIMPLE_AND_EASY_T,"ArayÅz kullan?m? kolay, anlamak iáin basit ve kolayd?r. Sistem istikrarl? ve verimli, h?zl? yan?t h?z?. Mobil bilgisayarlar ve di?er istemciler, her an her yerde ticaret yapabilirsiniz."
THIS_IS_YOUR_SPECIAL_INVITATIO,"Bu arkada?lar dÅ?meye [Copy] ve pay t?klay?n ve onlar bir hesap, bunlar?n web davet kodu girin sa?layabilirsiniz, ba?l? kurulu? kod ?udur:"
_BANKLEVEL_SECURITY_TECHNOLOGI,"Bu tip áoklu ?ifreli depolama yînetim sistemi denetim olarak Banka dÅzeyinde gÅvenlik teknolojileri, sÅreáleri ve so?uk cÅzdan mekanizmalar?n?n sorumluluklar?."
THIS_IS_YOUR_EXCLUSIVE_ADVERTI,"Bu îzel reklam slogan?, ka??d? yap??t?rmak ve arkada?lar?n? gîndermek iáin [Kopyala] dÅ?mesine t?klayabilirsiniz:"
IF_YOU_HAVE_SECONDARY_DEVELOPM,"?kincil geli?imini varsa ve bu belgeleri alabilir dosyas?nda, farkl?l?klara yol aá?yorsa kapl?d?r"
IF_YOU_CAN_NOT_SUCCESSFULLY_SC,"harita Åzerinde ba?ar?yla tarama barkodlar, manuel olarak da hesaplar eklemek ve a?a??daki anahtar? girebilirsiniz yapam?yorsan?z:"
THIS_IS_YOUR_SPECIAL_LINK_YOU_,"Bu Ortakl?k ba?lant?d?r, arkada?lar?n?zla [Kopyala] dÅ?mesini ve pay t?klayabilirsiniz:"
COUNT_ONE_AND_REVENUE_PREPAID_,Her încesi insanlar ve on îdÅllerin iki áe?it) birini say?n) ve gelir (în îdemeli i?lem te?vikler ve toplam?n? îdÅllendiriyor
_AND_THEN_SELECT__SCAN_BARCODE,Sonra Barkod Tara seáin. A?a??daki ?emada telefonda barkod tarama kamera lensini uyumlu hale getirecektir.
BANKLEVEL_USER_DATA_ENCRYPTION,"Banka dÅzey kullan?c? veri ?ifreleme, dinamik kimlik do?rulama, áok dÅzeyli bir risk tan?mlama kontrolÅ ve gÅvenli?i sa?lamak"
WITHIN_MINUTES_YOU_RECORDED_DU,E?er mÅ?teri servisine gerek kalmadan bu dînemde kaydedilen dakika iáinde herhangi bir soru Sizinle ileti?im iáin inisiyatif alacak.
TWOFACTOR_AUTHENTICATION_CAN_B,"?ki faktîrlÅ kimlik do?rulama, normal iki faktîrlÅ kimlik do?rulama i?lemleri etkilemeden bir hesap aámak iáin de?il, hesab?n?z iáin daha gÅvenli koruma olabilir"
INSTANT_RECHARGE_RAPID_WITHDRA,"An?nda ?arj?, h?zl? para áekme, tek yÅksek performansl? i?lem motoru ba??na milyon kere"
WALLET_MULTILAYER_ENCRYPTION_O,"CÅzdan áok katmanl? ?ifreleme, banka kasalarda áevrimd??? depolama, emanet fonlar?, gÅvenli?ini sa?lamak iáin"
YOU_ARE_USING_A_BROWSER_VERSIO,"Bir taray?c? sÅrÅmÅ áok dÅ?Åk kullan?yorsunuz, efekt gîrÅnÅmÅ ve bilgi kayb?na neden olabilir."
ONLY_DIGITAL_CURRENCY_ENTHUSIA,Online ticaret iáin Dijital Dîviz
PLEASE_USE_ALIPAY_TRANSFER_TO_,A?a??daki hesap numaras?na veya tarama QR kodu tarama transfer Alipay transferini kullan?n
DO_NOT_FILL_IN_THE_OTHER_CHARA,"Di?er karakterlerin (vb Bitcoin, ETH) doldurmak etmeyin veya dÅzgÅn hesaba yat?r?ld? olamaz!"
DO_NOT_DELETE_THIS_TWOFACTOR_A,"Bu iki faktîrlÅ kimlik do?rulama ?ifre hesab?n? silmeyin, aksi takdirde hesap i?lemi mÅmkÅn olmayacakt?r neden olur"
PLEASE_USE_THE_MICROCHANNEL_TR,A?a??daki hesap veya tarama QR kodu iáin Wechat transferini geráekle?tir
ACCORDING_TO_THE_HEAD_OF_CUSTO,MÅ?teri hizmetleri el belgelerin kafas?na gîre bir înceki dÅzeyden daha kesinlikle daha say? ve para birimlerinin say?s?n? gerekli
OFFICIAL_BULLETIN_NET_LONG_CUR,[Resmi BÅlteni] net uzun para
PLEASE_FILL_OUT_AN_OFFICIAL_RE,Åcretinin BîlÅmÅ'ne resmi resepsiyonu dîviz hesab? Åretilen adresi doldurun
PLEASE_TRANSFER_MONEY_TO_THE_F,"LÅtfen, áevrimiái bankac?l?k yoluyla veya reáetesiz a?a??daki banka hesab?na havale para ?Åphe durumunda lÅtfen"
NEXT_TO_A_DOMESTIC_USER_NAME_O,"Bir iá kullan?c? ad?n?n yan?nda, (yanl?? olabilir), bu dosyalar?n Åzerine ve yÅkseltme"
ANNOUNCEMENT_PLATFORM__CURRENC,[Duyuru] platformu para net uzun markas?d?r Sanayi iáin Devlet ?daresi taraf?ndan kabul edildi
AFTER_SETTING_THE_REAL_NAME_CA,Geráek ad?n? ayarlad?ktan sonra de?i?ti ve ayn? hesap ad? ve ilgi áekme edilemez
UPLOAD_A_POSITIVE_ID_PHOTOS_ID,YÅkleme rengi kimli?inizin în ve arka gîrÅntÅ taranan
ACCORDING_TO_THE_STATE_FIVE_MI,", Devlete Bitcoin riskine kar?? tetikte be? bakanl?k gîre oran?n? bekleyen"
THE_DEFAULT_BROWSER_ALSO_DISPL,"Varsay?lan taray?c? ayr?ca dikey kayd?rma áubu?u gîrÅntÅler, Titreme înlemek iáin kayd?rma áubu?u kaynaklan?yor"
STATE_REGULATIONS_PLEASE_FILL_,Kimlik Kart? gîre ayr?nt?lar?n? girin
PHONE_SEARCH_FOR__GOOGLE_AUTHE,Telefon: uygulama pazar?nda Google ?ifrematik aramas? veya arama
AUDIT_CHANGE_REQUEST_AFTER_THE,E?er KYC durumunu kontrol etmek iáin buraya bakabilirsiniz.
HERE_WITH_THE_ATTRIBUTE_SELECT,"Burada nitelik seáicileri ile bu cÅzdan adresidir, DÅzeltme formuna"
TO_PROTECT_YOUR_FINANCIAL_SECU,"mali gÅvenli?i, set Fon ?ifre korumak iáin, ak?lda tutulmas? gereken emin olun"
PLEASE_STRICTLY_IN_ACCORDANCE_,kesinlikle para art?r?ml? yÅkseltme kurallar?n?n farkl? dÅzeylerde áok say?da uyar?nca formu doldurmak iáin lÅtfen
DYNAMIC_AUTHENTICATION_AND_OTH,Dinamik kimlik do?rulama ve di?er banka dÅzeyinde gÅvenlik teknolojisi i?lemlerin gÅvenli?ini korumak iáin
ENTER_THE_TWOFACTOR_AUTHENTICA,aámak veya iki faktîrlÅ kimlik do?rulamas?n? kapatman?z iki faktîrlÅ kimlik do?rulama ?ifresini girin
SECOND_CHANGE_ONCE_THIS_NUMBER,?kinci de?i?iklik kez. Bu say? áift ?ifrenizi do?rulamak oldu?unu.
LAYOUT_BLOCK_CHAIN_ALI_TENCENT,"DÅzen blo?u zinciri: ileri Ali Tencent bÅyÅk ad?m, Baidu kÅáÅk ad?mlar yÅrÅme"
AFTER_INSTALLATION_YOU_NEED_TO,"YÅkleme tamamland?ktan sonra, a?a??daki gibi uygulamay? yap?land?rmak iáin gereken"
AND_SUBJECT_TO_NATIONAL_REQUIR,Ve fonlar?n gÅvenli?i iáin ulusal gereksinimlere tabi Onayl? olmas? gerekiyor
AFTER_GIVING_THESE_MAY_NOT_HAV,Bu verdikten sonra alt dosya yazma izinleri yazma eri?imine sahip olmayabilir
IN_THE_CENTER_YOU_CAN_SEE_THE_,Merkezde tek tek (ithalat giri?lerine takip format?n?) gîrebilirsiniz
PLEASE_ENTER_TRANSACTION_PASSW,Onayla Fonu ?ifre
PLEASE_ENTER_THE_TWOFACTOR_AUT,2FA Kodunu Girin
APPLICATION_FAILS_PLEASE_RESUB,Sen ba?ar?s?zl?k Åzerine senin KYC iste?inizi yeniden gînderebilirsiniz.
DURING_THE_EVENT_A_SINGLE_DAY_,olay (al?? ve sat?? olarak kabul edilir) ticaret tek bir gÅn tutar?nda s?ras?nda
THIS_UPDATE_DOES_NOT_INVOLVE_C,"Bu gÅncelle?tirme veritaban?nda yap?lan de?i?iklikleri iáermeyen, sen atlayabilirsiniz."
FRIENDS_SAY_THREE_COINS_COLUMN,Arkada? Åá sikke sÅtun para s?n?fland?rma sîylÅyorlar. kullan?m?na ?htiyaá eve áa??ran
PROFESSIONAL_REVIEWS_BITCOIN_U,"bak?? kullan?c? aá?s?ndan Bitcoin Profesyonel yorumlar, sîz konusu kÅresel y?ll?k bÅyÅme oran?"
TRANSACTION_CROSSSITE_CURRENCY,"[??lem] siteler aras? para cinsinden uzun a? kablosu siteler aras? ticaret sistemi, aá?k"
THE_OPPORTUNITY_TO_DRAW_VALID_,"f?rsat ertesi gÅn kullan?lmak Åzere ta??n?r edilemez, gÅnÅnde geáerli áizmek iáin;"
PHONE_DOES_NOT_SUPPORT_TWODIME,"Telefon: iki boyutlu kod tarama desteklemez, el bir anahtar girebilir"
THE_ABOVE_PICTURES_ARE_FOR_REF,Yukar?daki foto?raflar sadece tÅr îdÅllerin hakim lÅtfen referans iáindir
TO_PROTECT_YOUR_ACCOUNT_SECURI,"Hesab?n?z?n gÅvenli?ini korumak iáin, hesap bilgilerinizi doldurun"
_OFFICIAL_ANNOUNCEMENT_ON_CURR,[Para net uzun dîviz ticareti tarihinde Resmi duyuru de?i?ecektir]
PS_STRICTLY_REQUIRED_TO_FILL_T,Kesinlikle Åst sipari? numaras? doldurmak iáin gerekli:
AFTER_SUCCESSFULLY_ADDED_AN_OF,Ba?ar?yla resmi bir kopyas? yaz??ma para hesab? adresi eklemi? sonra
LOWERCASE_MANDATORY_KEYWORDS_S,Zorunlu kÅáÅk harfe: áa?r? gibi kelimeler ancak dolgu olamaz
MEET_THE_FOLLOWING_CURRENCY_AM,Tan??ma a?a??daki para miktar? otomatik seviyeye yÅkseltilecektir
EVENT_DESCRIPTION_INVITE_DIVID,Etkinlik Aá?klamas?: bîlÅnmÅ? davet Daren (ayn? etkinlik aá?klamas?
IF_IN_ERROR_IT_CAN_BE_RESTORED,"yanl??l?kla, bu manuel giri? anahtar ile geri yÅklenebilir."
THE_HIGHER_THE_AMOUNT_OF_THE_T,"??lemin daha yÅksek miktarda, daha fazla olas?l?k bÅyÅk îdÅl áekilmi?;"
WALLET_WALLET_SERVER_USER_NAME_,"hizmetlerini yerle?tirme CÅzdan sunucusu kullan?c? ad?, lÅtfen ileti?im"
PLEASE_USE_THE_IPS_ONLINE_PAYM,?Åphe durumunda áevrimiái îdeme lÅtfen IPS kullan?n
JUMP_END_ERROR_PAGE_AFTER_LOGI,oturum aáma kimlik do?rulama geráek ad? de?il sonra uá hata sayfas? geá.
BY_APPLICATION_PLEASE_REREGIST,de?il yeniden kaydettirin LÅtfen.
YOUR_ACCOUNT_LOGIN_IN_OTHER_PL,"Ba?ka yerlerde Hesab?n?z giri?, LÅtfen tekrar giri? yap?n"
CHARACTER_REPRESENTATION_SO_TH,"Karakter gîsterimi, bu yÅzden herhangi bir kodlama hiábir sorun oldu?u"
STRICT_CONTROLS_ON_CURRENCY_AU,riskin kur denetim mekanizmas? kapsaml? kayna?a s?k? kontroller
PROFESSIONAL_SERVICES_TEAM_ONL,"Profesyonel hizmetler ekibi, áevrimiái mÅ?teri hizmetleri ve teknik destek"
LEAVE_EMPTY_FOR_THE_LATEST_MAR,say?lar doldurun son pazar fiyat? iáin bo? b?rak?n
BEYOND_THE_SCROLL_BAR_NAVIGATI,kayd?rma áubu?u gezinme áubu?unda îtesinde pencerenin yÅksekli?ini simÅle
UPGRADE_AND_REPAIR_THE_PROBLEM,YÅkseltme ve problem kayd?n? onarmak. ôzel geli?tirme program?
INTERNET_GIANT_TENCENT_IS_TO_C,?nternet devi Tencent bir blok zinciri platform olu?turmak
PROFESSIONAL_CUSTOMER_SERVICE_,"Profesyonel mÅ?teri hizmetleri ekibi, bir profesyonel hizmetlerinde tek"
REENTER_TRANSACTION_PASSWORD_T,tutarl? olmas? iáin iki kez ihtiyaálar Fon ?ifre tekrar girin
DEPENDING_ON_THE_SETTING_OF_TH,Fon ?ifre varsa
REFERRAL_COMMISSION_A_PROMOTIO,sevk komisyonu
TODAY_ONLY_SELL_CURRENCY_ACCOU,BugÅn sadece dîviz satma hesap bakiyeleri YÅzde
SMS_TEXT_MESSAGING_INTERFACE_U,SMS metin mesajla?ma arayÅzÅ kullan?c? ad? arayÅzÅ gÅvenlik anahtarlar?
CONCEPT_CLEAR_AND_RESET_ARE_TI,Konsept: Net ve S?f?rlama s?k? ayr?lmaz
TYRANT_ERA_COINS_FINAL_INTERPR,Tyrant dînemi paralar net her nihai yorumlanmas?.
NO_NEED_TO_UPGRADE_THE_DATABAS,"Gerek yok, veritaban?n? yÅkseltmek veritaban? yÅkseltme atlamak iáin"
SIEGE_LION_EFFORTS_TO_DEVELOP_,", Konaklama ayarl? bîylece kas?lmas?n? geli?tirmek iáin Ku?atma aslan áabalar?"
I_HAVE_MERGED_THEIR_OWN_DATABA,"Ben kendi veritaban? yÅkseltme birle?mi?, atlamak"
THE_CENTRAL_BANK_REGULATION_BI,platformun Bitcoin merkez bankas? dÅzenleme Suá Gelirlerinin Aklanmas? ba?lamak
INSTALL_TWOFACTOR_AUTHENTICATI,Telefonunuzda iki faktîrlÅ kimlik do?rulama program? yÅkleyin:
AFTER_THE_BUTTON_CODE_IF_YOU_D,dÅ?me koduna sonra e?er bunu silmeyin
THE_CURRENT_RUN_IS_CREATED_BAS,mevcut áal??t?rman?n iá dayal? olu?turulur olabilir
YUAN_WILL_BE_ABLE_TO_GET_A_LUC,Yuan ?ansl? bir beraberlik almak mÅmkÅn olacak;
TO_PREVENT_LOSS_OF_DATA_OR_CON,veri veya ikincil geli?me iáerik kayb?n? înlemek iáin.
ANNOUNCEMENT_ON_THE_CURRENCY_H,Para ?apka ipliklerini i?lem duyurusu Åzerine [Duyuru]
_APPLICATION_CLICK_ON_THE__ADD,"Uygulama, Ekle Yeni Hesap t?klayarak"
THEN_CLICK_THE_ADD_FILE_BUTTON,Ard?ndan Dosya Ekle dÅ?mesi resimlerini t?kland???nda
DOWNLOAD_THE_UPDATE_PACKAGE_AN,GÅncelle?tirme paketini indirin ve sonra dosyalar?n bir listesini almak
PLEASE_ENTER_YOUR_REAL_NAME_IN,dîvizleri [iáinde aá?klamalar? geráek isminizi giriniz
YOU_DO_NOT_NEED_TO_ENTER_EACH_,Fon ?ifre gerekli de?ildir
FEES_DEDUCTED_DIRECTLY_FROM_TH,öcretler resmi Åcreti adresinden do?rudan mahsup
PLEASE_ENTER_THE_CONTACT_NAME_,"Ki?i ad?n? giriniz, ileti?im adresi yaz?n?z"
AFTER_CONFIGURATION_IT_WILL_BE,"Yap?land?rma sonucunda, bir cep telefonu gîrÅntÅlenecektir"
PLEASE_SELECT_THE_CORRECT_FILE,Do?ru dosya tipini ve boyutunu seáin!
NET_NEW_CURRENCY_ON_THE_LINE_A,on line net yeni para birimi ve koyun paralar duyuru aá?klamas?
COMPUTER_END_A_NEW_REVISION_IN,"Bilgisayar yeni bir revizyon sonland?rmak, mobil terminali artt?."
QUOTE_CHANGE_COMPUTING_WHEN_NO,Yeni iáin yokken ticaret pazar?n? bilgisayar Al?nt? de?i?ikli?i
BITCOIN_WALLET_STANDARD_DISCUS,Bitcoin cÅzdan standart tart??ma Almanya'da dÅzenlenen
RESTORING_DATABASE_PLEASE_DO_N,"Veritaban? geri yÅkleme, kapatmak de?il, lÅtfen!"
THE_DATABASE_IS_BEING_BACKED_U,"Veritaban? yak?n lÅtfen yapma, yedeklenmi? ediliyor!"
YET_ON_THE_LINE_SO_STAY_TUNED_,"Oysa on line, beklemeye devam s?radan kullan?c? grubunu kalmak"
I_HAVE_NOT_ALTERED_THE_DATABAS,"Ben veritaban? de?i?mi? de?il, veritaban? yÅkseltme"
CHENGDU_FIRST_BLOCK_CHAIN_SUMM,Chengdu ilk blok zinciri Zirve Forumu dÅzenlenecek
START_BACKUP_PLEASE_DO_NOT_CLO,"Ba?lat Yedekleme, de?il yak?n bu sayfay? lÅtfen!"
ANNOUNCED_BITCOIN_THEFT_BEFORE,Ba?ar?l? bir geri îdeme încesinde Aá?kland? Bitcoin h?rs?zl?k
REPAIR_VERIFY_THE_TRANSACTION_,Tamir i?lemi geáersiz ?ifre ayar? fonksiyonu do?rulamak
ADMINISTRATORS_GROUP_TO_ADD_AN,eklenti ve dÅzenleme sayfalar?na Yîneticiler grubu
ENTER_ONLY_ONCE_EACH_TIME_YOU_,sadece giri? iáin bir kere
OFFICIAL_FEES_PAID_DIRECTLY_IN,Resmi Åcretleri adresine do?rudan îdenen
YOU_DO_NOT_NEED_TO_ENTER_THE_T,Fon ?ifresini girin
OTHERWISE_YOU_MUST_FILL_IN_A_L,"Aksi takdirde, gîrmÅyorum yerlerde bir sÅrÅ girmelisiniz"
AFTER_FINISHED_SELECTING_FILES,Bitmi? seáme dosyalar? sonra ister otomatik upload.
NO_ACCOUNT_SIGN_UP_TO_HAVE,Hesap yok? olmas? kaydolun!
PLEASE_ENTER_A_CURRENCY_NAME_P,Bir para birimi ad? girin ?arj miktar?n? giriniz
MAKE_SURE_ALL_FILES_RELATED_TO,devlete ba?l? emin tÅm dosyalar? olun
LITECOIN_ISOLATION_WITNESS_SUP,izolasyon tan?k destek oran?n?n Litecoin
PHONE_REAL_NAME_DATA_UPGRADE_S,"Telefon As?l ad? veri gÅncellemesi, ask?ya"
NO_ACCOUNT_NO_BEGINNING_OF_THE,"Hiábir hesap, cari ICO hiábir ba?lang?c?"
CONGRATULATIONS_RETRIEVE_PASSW,"Tebrikler, ?ifre ba?ar?y? almak!"
CONGRATULATIONS_RETRIEVE_TRANS,"Tebrikler, Fon ?ifre ba?ar?y? almak!"
CONGRATULATIONS_THE_UPGRADE_WA,"Tebrikler, yeni sÅrÅme ba?ar?yla geáerli sÅrÅm"
OFFICIAL_INFORMATION_ONLINE_CU,Resmi bilgi áevrimiái mÅ?teri hizmetleri ve uyumu art?rmak
YOU_NEED_TO_ENTER_A_PASSWORD_W,Bir i?lem haline girdi?inizde bir ?ifre girmeniz gerekir
OTHERWISE_IT_WILL_CAUSE_DISLOC,Aksi takdirde á?k??? Åyelik seviyelerine neden olur
BACKGROUND_INCREASE_ONLINE_CUS,Arkaplan art?? online mÅ?teri yap?land?rma fonksiyonu.
FOR_BACKGROUND_DISPLAY_CONFIGU,(Arka plan gîrÅntÅ yap?land?rma ba?l??? iáin)
CONTACT_CUSTOMER_SERVICE_SITE_,?leti?im MÅ?teri Hizmetleri Site Yîneticisi Sistemi
WELCOME_TO_VISIT_THE_WEBSITE_B,Web sitesi arka plan yînetim sistemi ziyaret etmek
OPERATORS_FORCE_CONTRACT_MININ,Operatîrler kazaná duyuruyu geli?tirmek iáin sîzle?me madencilik zorlamak
CALCULATED_BASED_ON_THE_LAST_T,Geáen i?lem dÅn dayal? olarak hesaplan?r
INVITE_PEOPLE_FIRST_INVITATION,ki?ileri davet edin: ?lk davetiye kodu:
ENTER_THE_UNLOCK_PASSWORD_OR_L,Kilit aáma ?ifresini ya da giri? ?ifresini girin
DISPLAY_DOUBLE_AUTHENTICATION_,ne zaman fon d??ar? áift kimlik do?rulama kodunu gîrÅntÅler
STATISTICAL_REPORTING_SYSTEM_T,?statistiksel raporlama sistemi zamanlama gÅn
YOU_NEED_TO_ENTER_LOGIN_ACCOUN,Sen giri? hesab?n?n ?ifre girmeniz gerekir
DOCKING_STATION_FORMAL_PRESENT,Yana?ma istasyonu resmi tan?t?m? litecoin cÅzdan
RELATED_DATABASE_UPDATE_SCRIPT,?lgili veritaban? gÅncelleme komut yeri
JIANGXI_XINGSHUO_INFORMATION_T,"Ltd Jiangxi Xingshuo Bilgi Teknolojisi Co,"
INCOME_OF_PEOPLE_THE_FIRST_TIM,insanlar?n Gelir: ?lk kez kazaná
TWOFACTOR_AUTHENTICATION_TURNE,Åzerinde 2FA Kimlik aáma / kapama:
SEND_A_CONSISTENT_MESSAGE_WITH,"E?er HÅkÅmet verdi?i foto?rafl? kimlik tutma Cephesi, Geri ve Foto?raf? Gînder"
THE_TOTAL_GLOBAL_MARKET_CAPITA,Åzerinde ?ifreleme birimi tam ekran toplam kÅresel piyasa
DIGITAL_ASSETS_EQUAL_TO_HOW_MU,Dijital varl?klar? iáin e?it ne kadar yuan
FOR_TWO_PACKETS_LEFT_MENU,(For iki paket menÅsÅ sol)
PLEASE_FILL_IN_YOUR_USERNAME_P,"Kullan?c? ad?n?z doldurunuz, ?ifre doldurun lÅtfen"
ENTER_THE_GOOGLE_VERIFICATION_,kod ve onaylay?n do?rulama Google'a Giri?
EACH_TRANSACTION_TRANSACTION_P,Fon ?ifre her bir i?lem ile gerekli
CALCULATED_ACCORDING_TO_THE_SI,tek bir i?lem Åcreti gîre hesaplanm??t?r
SELECT_THE_USER_NAME_INPUT_FIE,kullan?c? ad? giri? alan? ba?latma seáin
WHEN_THERE_ARE_PENDING_CAN_NOT,de?i?tirilemez beklemedeki zaman
CONGRATULATIONS_YOU_HAVE_SUCCE,"Tebrikler, ba?ar?l? olarak kay?t!"
OTHERWISE_THE_PROPORTION_OF_FE,"Aksi takdirde, Åcret ayar? oran? geáersiz"
THE_CURRENT_NUMBER_OF_PENDING_,emir yaln?zca hesap bekleyen mevcut say?s?
REINITIALIZE_THE_CURRENT_MARKE,mevcut piyasa istatistiklerini yeniden ba?latmak
REINITIALIZE_THE_CURRENT_CURRE,Geáerli para birimi istatistiklerini yeniden ba?latmak
BUTTON_TO_SELECT_THE_FILE_OPTI,DÅ?me dosyas?n? seámek iáin. ?ste?e ba?l?.
POSITIVE_AND_NEGATIVE_PHOTO_SC,Pozitif ve negatif foto?raf tarama belge veya paráa
AFTER_THE_REGISTRATION_CERTIFI,tescil belgesi numaras? de?i?tirilemez sonra
END_HOME_PARTICLES_OUT_OF_THE_,sîz konusu ev paráac?klar?n? bitirin.
END_BANK_CARD_TO_ADD_VALIDATIO,do?rulama hatas? eklemek iáin banka kart? sonland?r?n.
REGISTRATION_WILL_BE_ASSIGNED_,Kay?t Hesap toplanmas?na atanacak
BITCOIN_USER_BASE_RISING,kullan?c? taban? Bitcoin yÅkselen
WITHIN_EACH_INTEREST_PERIOD_PR,her bir ilgi sÅresi iáinde olumlu Chun takdim
